Skill_Id,Skillset
1417,domain controller
1418,ghost imaging
1419,juniper switches
1420,filezilla
1421,microsoft windows 98
1422,print servers
1423,back office operations
1424,sales force testing
1425,quality control
1426,project documentation
1427,selenium java
1428,rest apis
1429,j unit
1430,jiira
1431,webdriver
1432,excel macro
1433,macro
1434,income tax
1435,tax deducted at source (tds)
1436,treasury management
1437,goods and services tax (gst)
1438,provident fund
1439,pcnse
1440,ipsec vpn
1441,juniper srx
1442,acl
1443,network load balancing
1444,ccna certified
1445,palo alto networks
1446,cisco wlc
1447,cisco ap
1448,autocad
1449,salesforce.com development
1450,salesforce sales cloud
1451,soql
1452,salesforce admin
1453,central excise
1454,bank reconciliation
1455,accounts payable
1456,tax
1457,value-added tax (vat)
1458,accounts receivable
1459,tally erp
1460,finance
1461,accounts
1462,taxation
1463,tds
1464,e-tds
1465,softex
1466,sez & stpi
1467,export
1468,retail dispatch
1469,biling & dispatch
1470,animation
1471,hpqc
1472,cricket
1473,essays
1474,short stories
1475,vue.js
1476,.net core
1477,project leadership
1478,teradata
1479,gradle
1480,thymeleaf
1481,tactical planning
1482,project rollouts
1483,web application design
1484,project tracking
1485,web service
1486,oop
1487,social network analysis
1488,ucinet
1489,android sdk
1490,dotcms
1491,low level design
1492,asp
1493,java web services
1494,ms excel pivot tables
1495,loadrunner
1496,etl developer
1497,informatica developer
1498,talend open studio
1499,java persistence adapter
1500,getafix
1501,asl
1502,ui path
1503,rpas
1504,sharepoint framework (spfx)
1505,angularts
1506,api development
1507,telecom oss
1508,brm
1509,oops
1510,d3.js
1511,sqoop
1512,flume
1513,apache pig
1514,titandb
1515,oss bss
1516,it automation
1517,"""ericssons online charging system"""
1518,sports
1519,php applications
1520,scrum master
1521,test automation expert
1522,openstack cloud
1523,product owner
1524,digitalisation
1525,sap basis
1526,windows system administration
1527,dns server
1528,presentations
1529,hypothesis testing
1530,dns
1531,firewalls
1532,network security
1533,telecom billing
1534,prepaid charging
1535,wcf
1536,proposal writing
1537,customer acquisition
1538,software industry
1539,cold calling
1540,software sales
1541,taleo
1542,small business
1543,blazemeter
1544,azure admin
1545,sql azure
1546,cloud computing iaas
